STT,SoNguoiNhiem,TuVong,AmTinh
331,91969,433,76242
332,93309,437,77309
333,95327,438,78393
334,97389,439,79304
335,98737,444,80014
336,100318,446,81099
337,101565,449,82540
338,103900,451,83414
339,105096,452,84411
340,106690,455,85592
341,108615,457,86715
342,110485,463,87460
343,113010,471,88941
344,115078,474,91171
345,117373,483,94492
346,119077,494,97218
347,120818,501,98228
348,122845,509,99449
349,125438,513,100578
350,128465,521,102723
351,131108,537,105431
352,133559,542,106832
353,135992,551,108109
354,138224,555,109115
355,141533,559,110584
356,144518,563,111578
357,147855,578,113288
358,151066,586,115227
359,155095,594,117375
360,158434,601,120051
361,161740,605,122344
362,165371,619,125288
363,169379,630,127662
364,172549,642,130152
365,176180,660,132706
366,180455,667,137019
367,183801,678,141446
368,186849,689,145084
369,190434,700,149160
370,194114,707,151018
371,198208,717,154299
372,203933,733,157722
373,209661,746,161527
374,214959,760,166049
375,219173,770,170329
376,222628,791,173990
377,226912,809,177794
378,231483,826,181886
379,234874,845,185278
380,238721,857,186970
381,242452,872,190339
382,245552,896,192679
383,248316,909,196566
384,251604,923,198495
385,254988,936,202269
386,258306,953,205774
387,261805,958,209289
388,264269,965,213814
389,266445,975,218335
390,269165,983,224053
391,272163,1005,229762
392,274875,1030,235082
393,277811,1043,239971
394,280272,1051,244753
395,283569,1056,249209
396,285761,1062,252623
397,288229,1076,256678
398,291774,1088,260009
399,293698,1100,263761
400,295951,1111,266846
401,298315,1121,270166
402,300752,1130,273417
403,302580,1135,275903
404,304135,1141,278431
405,305880,1148,280707
406,307943,1153,283629
407,310097,1159,286904
408,311777,1166,289452
409,313460,1169,291958
410,314989,1177,294034
411,316269,1186,296379
412,317717,1191,298516
413,319364,1200,300620
414,320939,1203,302662
415,322409,1206,304492
416,323763,1210,306274
417,324971,1213,308247
418,326034,1218,309612
419,327253,1220,310958
420,328466,1223,312461
421,330042,1225,314457
422,331713,1229,316042
423,333040,1233,317289
424,334156,1238,318784
425,335540,1244,319842
426,336808,1246,320925
427,338168,1248,322416
428,339443,1249,323925
429,340642,1251,325182
430,341944,1255,326309
431,342885,1260,327406
432,344018,1265,328554
433,345500,1272,329624
434,346678,1278,331001
435,347972,1283,332443
436,349610,1286,333892
437,350959,1288,335162
438,352029,1295,336456
439,353329,1300,337868
440,354468,1304,339067
441,355753,1308,340242
442,357607,1313,341489
443,359117,1321,342737
444,360856,1329,343953
445,362173,1333,345005
446,363940,1345,346295
447,365829,1353,347780
448,367977,1363,349039
449,370528,1365,350563
450,372859,1370,352395
451,375054,1378,353822
452,377132,1386,355224
453,379473,1389,356816
454,381813,1400,358726
455,384688,1407,361267
456,387535,1415,363608
457,390252,1426,365900
458,392942,1436,367753
459,395718,1449,369556
460,398451,1462,371575
461,401593,1477,373397
462,404925,1492,375340
463,408713,1506,377980
464,411594,1521,380442
465,415012,1533,383140
466,417512,1551,385208
467,420632,1574,387542
468,424376,1591,389846
469,427927,1610,392555
470,432425,1632,396004
471,436944,1657,398723
472,440677,1683,401934
473,444484,1700,405388
474,448457,1722,408236
475,453222,1761,411360
476,458077,1788,414707
477,462190,1822,418897
478,466330,1866,422329
479,470110,1902,426319
480,474556,1947,429103
481,479421,1994,432600
482,485496,2040,436116
483,492302,2099,440032
484,498795,2149,444540
485,505115,2199,449234
486,512091,2248,452821
487,518600,2309,456273
488,525889,2369,460062
489,533367,2432,464727
490,541224,2491,469325
491,549514,2552,474139
492,558534,2650,479666
